Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/Role/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-EC2RestrictedCommonPorts","eks-blueprint/eks-blueprint/ControlPlaneSecurityGroup/Resource","Compliant","N/A","Error","The EC2 instance allows unrestricted inbound IPv4 TCP traffic on one or more common ports (by default these ports include 20, 21, 3389, 3309, 3306, 4333) - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2, 2.2.2)."
"PCI.DSS.321-EC2RestrictedSSH","eks-blueprint/eks-blueprint/ControlPlaneSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows unrestricted SSH access - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2, 2.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/Resource/CreationRole/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/Resource/CreationRole/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/Resource/CreationRole/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMUserNoPolicies","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy is attached at the user level - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/Nodegroupeks-blueprint-ng-ng/NodeGroupRole/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/Nodegroupeks-blueprint-ng-ng/NodeGroupRole/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/Nodegroupeks-blueprint-ng-ng/NodeGroupRole/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/argo-cd-server/Role/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/argo-cd-server/Role/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/argo-cd-server/Role/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/blueprints-addon-cluster-autoscaler-managed-policy/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/blueprints-addon-cluster-autoscaler-managed-policy/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMUserNoPolicies","eks-blueprint/eks-blueprint/blueprints-addon-cluster-autoscaler-managed-policy/Resource","Compliant","N/A","Error","The IAM policy is attached at the user level - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/blueprints-addon-cluster-autoscaler-sa/Role/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/blueprints-addon-cluster-autoscaler-sa/Role/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/blueprints-addon-cluster-autoscaler-sa/Role/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMUserNoPolicies","eks-blueprint/eks-blueprint/aws-load-balancer-controller/Role/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy is attached at the user level - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
